Fiscal year is January-December. All values USD Thousands.,2022,2021,2020,2019,2018
Total Assets FOR CALCULATION PURPOSES ONLY,758543.0,725992.0,695208.0,686685.0,594384.0
Total Debt / Total Assets,5.51%,5.42%,5.22%,10.25%,2.07%
Deferred Tax Liabilities,2423.0,1681.0,2185.0,1736.0,219.0
Deferred Taxes - Credit,1143.0,3217.0,3991.0,2715.0,1390.0
Deferred Taxes - Debit,3566.0,1536.0,1806.0,979.0,1171.0
Other Liabilities,5918.0,6572.0,7045.0,5595.0,4610.0
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,5918.0,6572.0,7045.0,5595.0,4610.0
Deferred Income,-,-,-,-,-
Total Liabilities,698806.0,654291.0,626880.0,626763.0,543741.0
Total Liabilities Growth,6.80%,4.37%,0.02%,15.27%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,59737.0,71701.0,68328.0,59922.0,50643.0
Common Stock Par/Carry Value,6044.0,6054.0,6046.0,5959.0,5927.0
Additional Paid-In Capital/Capital Surplus,24814.0,23635.0,23166.0,22871.0,22556.0
Retained Earnings,41945.0,37847.0,32497.0,27905.0,24321.0
ESOP Debt Guarantee,-,-,-,228.0,404.0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,10984.0,10943.0,14561.0,8389.0,658.0
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,254.0,5717.0,6953.0,4512.0,2369.0
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,1828.0,1061.0,989.0,462.0,46.0
Common Equity / Total Assets,0.08%,0.10%,0.10%,0.09%,0.09%
Total Shareholders Equity,59737.0,71701.0,68328.0,59922.0,50643.0
Total Shareholders Equity / Total Assets,7.88%,9.88%,9.83%,8.73%,8.52%
Return On Average Total Equity,12.58%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,59737.0,71701.0,68328.0,59922.0,50643.0
Liabilities & Shareholders Equity,758543.0,725992.0,695208.0,686685.0,594384.0
