Fiscal year is January-December. All values USD Thousands.,2021,2020,2019,2018,2017
Deposits Growth,20.12%,16.25%,2.61%,9.97%,-
Total Debt,29462.0,52322.0,66219.0,75737.0,72225.4
ST Debt & Current Portion LT Debt,12262.0,10095.0,44907.0,73475.0,61963.4
Current Portion of Long Term Debt,12262.0,10095.0,44907.0,73475.0,55500.0
Short Term Debt,-,-,-,-,6463.4
Long-Term Debt,17200.0,42227.0,21312.0,2262.0,10262.0
LT Debt excl. Capitalized Leases,17200.0,42227.0,21312.0,2262.0,10262.0
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,18.0,18.0,18.0,18.0,18.0
Long Term Debt Growth,-59.27%,98.14%,842.18%,-77.96%,-
Total Assets FOR CALCULATION PURPOSES ONLY,487963.0,444047.0,410331.0,387754.3,360461.2
Total Debt / Total Assets,6.04%,11.78%,16.14%,19.53%,20.04%
Deferred Tax Liabilities,735.0,706.0,726.0,778.9,674.9
Deferred Taxes - Credit,889.0,985.0,838.0,640.7,714.0
Deferred Taxes - Debit,1624.0,1691.0,1564.0,1419.6,1388.9
Other Liabilities,3883.0,4480.0,4574.0,4185.5,6044.7
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,3883.0,4480.0,4574.0,4185.5,6044.7
Deferred Income,-,-,-,-,-
Total Liabilities,427495.0,385186.0,353265.0,355027.2,328563.0
Total Liabilities Growth,10.98%,9.04%,-0.50%,8.05%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,60468.0,58861.0,57066.0,32727.0,31898.2
Common Stock Par/Carry Value,62.0,34253.0,33174.0,33192.4,32111.9
Additional Paid-In Capital/Capital Surplus,26783.0,25606.0,25636.0,-,-
Retained Earnings,36813.0,-,-,-,-
ESOP Debt Guarantee,3163.0,2146.0,2265.0,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,575.0,1481.0,-,-,-
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,146.0,100.0,521.0,465.4,213.7
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,748.0,233.0,-,-,-
Common Equity / Total Assets,0.12%,0.13%,0.14%,0.08%,0.09%
Total Shareholders Equity,60468.0,58861.0,57066.0,32727.0,31898.2
Total Shareholders Equity / Total Assets,12.39%,13.26%,13.91%,8.44%,8.85%
Return On Average Total Equity,4.39%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,60468.0,58861.0,57066.0,32727.0,31898.2
Liabilities & Shareholders Equity,487963.0,444047.0,410331.0,387754.3,360461.2
